,Title,Pre-Production,Link,start_year,end_year,certificate,runtime,genre,ratings,review,stars,votes
161,Gekijouban Bishoujo Senshi Sailor Moon Eternal,Yes,/title/tt10635042/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
162,Monster Musume no Iru Nichijou,Yes,/title/tt4831392/,2015,No Finale yet,NA,NA,NA,NA,NA,NA,NA
163,Dragon Ball,Yes,/title/tt0280249/,1995,2003,NA,NA,NA,NA,NA,NA,NA
164,Toradora!,No,/title/tt1279024/,2008,2009,16,24 min," Comedy, Drama            ",8.0,"Ryuji Takasu lives in a falling down house with his mother, and although being a nice guy is cursed with the evil look of his father causing people to avoid him. Taiga Aisaka is a tiny,self...                See full summary »","Rie Kugimiya,Junji Majima,Yui Horie,Hirofumi Nojima","11,304"
165,Hunter x Hunter,No,/title/tt0426719/,1999,2001,All,23 min," Action, Adventure            ",8.6,"The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua.","Hozumi Gôda,Yuki Kaida,Junko Takeuchi,Annika Odegard","6,631"
166,Kaguyahime no monogatari,No,/title/tt2576852/,2013,No Finale yet,U,137 min," Adventure, Drama            ",8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","Isao Takahata,Chloë Grace Moretz,James Caan,Mary Steenburgen,James Marsden","40,454"
167,Jûbê ninpûchô,No,/title/tt0107692/,1993,No Finale yet,A,94 min," Action, Adventure            ",7.9,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,"Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka","35,091"
168,Gantz: O,Yes,/title/tt5923962/,2016,No Finale yet,NA,NA,NA,NA,NA,NA,NA
169,Yuukoku no Moriarty,Yes,/title/tt12831098/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
170,Seishun Buta Yaro wa Yumemiru Shoujo no Yume wo Minai,Yes,/title/tt10472884/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
171,Yu yu hakusho,No,/title/tt0185133/,1992,1995,U,24 min," Action, Adventure            ",8.4,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...                See full summary »","Nozomu Sasaki,Justin Cook,Christopher Sabat,Cynthia Cranz","11,810"
